"State","Year","Crop","Area","Production"
"Andaman and Nicobar Islands","2000","Arecanut","4354.000000","7200"
"Andaman and Nicobar Islands","2000","Banana","1707.000000","12714"
"Andaman and Nicobar Islands","2000","Cashewnut","800.000000","219"
"Andaman and Nicobar Islands","2000","Coconut ","25160.000000","89000000"
"Andaman and Nicobar Islands","2000","Dry ginger","388.000000","1220"
"Andaman and Nicobar Islands","2000","Other Kharif pulses","670.000000","449"
"Andaman and Nicobar Islands","2000","other oilseeds","133.000000","55"
"Andaman and Nicobar Islands","2000","Rice","10881.000000","32184"
"Andaman and Nicobar Islands","2000","Sugarcane","142.000000","3738"
"Andaman and Nicobar Islands","2000","Sweet potato","83.000000","858"
"Andaman and Nicobar Islands","2000","Tapioca","200.000000","2277"
"Andaman and Nicobar Islands","2001","Arecanut","4354.000000","7300"
"Andaman and Nicobar Islands","2001","Cashewnut","800.000000","225"
"Andaman and Nicobar Islands","2001","Coconut ","25205.000000","89680000"
"Andaman and Nicobar Islands","2001","Dry ginger","390.000000","1224"
"Andaman and Nicobar Islands","2001","Other Kharif pulses","420.000000","200"
"Andaman and Nicobar Islands","2001","Rice","9801.000000","27333"
"Andaman and Nicobar Islands","2001","Sugarcane","82.000000","2380"
"Andaman and Nicobar Islands","2001","Sweet potato","111.000000","38"
"Andaman and Nicobar Islands","2002","Arecanut","4363.000000","7350"
"Andaman and Nicobar Islands","2002","Banana","1737.000000","12160"
"Andaman and Nicobar Islands","2002","Black pepper","550.000000","116"
"Andaman and Nicobar Islands","2002","Cashewnut","800.000000","232"
"Andaman and Nicobar Islands","2002","Coconut ","25300.000000","94320000"
"Andaman and Nicobar Islands","2002","Dry chillies","652.000000","49.7"
"Andaman and Nicobar Islands","2002","Dry ginger","399.300000","1278"
"Andaman and Nicobar Islands","2002","other oilseeds","85.100000","40.31"
"Andaman and Nicobar Islands","2002","Rice","10885.000000","32111.66"
"Andaman and Nicobar Islands","2002","Sugarcane","460.000000","13800"
"Andaman and Nicobar Islands","2003","Arecanut","4379.000000","6707"
"Andaman and Nicobar Islands","2003","Banana","1796.000000","13321"
"Andaman and Nicobar Islands","2003","Black pepper","572.500000","120.23"
"Andaman and Nicobar Islands","2003","Cashewnut","833.500000","234.64"
"Andaman and Nicobar Islands","2003","Coconut ","25394.740000","95240000"
"Andaman and Nicobar Islands","2003","Dry chillies","400.000000","680"
"Andaman and Nicobar Islands","2003","Dry ginger","508.000000","1625.6"
"Andaman and Nicobar Islands","2003","other oilseeds","86.290000","35.809999999999995"
"Andaman and Nicobar Islands","2003","Rice","10561.370000","30850.87"
"Andaman and Nicobar Islands","2003","Sugarcane","268.000000","2879.52"
"Andaman and Nicobar Islands","2004","Arecanut","4425.370000","4781.05"
"Andaman and Nicobar Islands","2004","Banana","1978.520000","17778.52"
"Andaman and Nicobar Islands","2004","Black pepper","655.000000","120.22"
"Andaman and Nicobar Islands","2004","Cashewnut","800.000000","223"
"Andaman and Nicobar Islands","2004","Coconut ","25551.400000","87130000"
"Andaman and Nicobar Islands","2004","Dry chillies","400.000000","968"
"Andaman and Nicobar Islands","2004","Dry ginger","528.000000","1828"
"Andaman and Nicobar Islands","2004","other oilseeds","90.300000","46.61"
"Andaman and Nicobar Islands","2004","Rice","10734.920000","29192.23"
"Andaman and Nicobar Islands","2004","Sugarcane","145.260000","1560"
"Andaman and Nicobar Islands","2005","Arecanut","4046.450000","3058.46"
"Andaman and Nicobar Islands","2005","Banana","1678.800000","10833.13"
"Andaman and Nicobar Islands","2005","Black pepper","697.450000","36.050000000000004"
"Andaman and Nicobar Islands","2005","Cashewnut","568.500000","86.02"
"Andaman and Nicobar Islands","2005","Coconut ","20927.020000","78460000"
"Andaman and Nicobar Islands","2005","Dry chillies","387.700000","877.6"
"Andaman and Nicobar Islands","2005","Dry ginger","200.000000","1800"
"Andaman and Nicobar Islands","2005","other oilseeds","53.550000","34.2"
"Andaman and Nicobar Islands","2005","Rice","8685.470000","25883.04"
"Andaman and Nicobar Islands","2005","Sugarcane","128.020000","2448.2"
"Andaman and Nicobar Islands","2005","Sweet potato","131.900000","700.35"
"Andaman and Nicobar Islands","2005","Tapioca","254.500000","1480"
"Andaman and Nicobar Islands","2005","Turmeric","91.700000","642"
"Andaman and Nicobar Islands","2006","Arecanut","4056.000000","5839.299999999999"
"Andaman and Nicobar Islands","2006","Banana","1638.570000","13708"
"Andaman and Nicobar Islands","2006","Black pepper","610.260000","212"
"Andaman and Nicobar Islands","2006","Cashewnut","570.000000","155.13"
"Andaman and Nicobar Islands","2006","Coconut ","21416.090000","88960000"
"Andaman and Nicobar Islands","2006","Dry chillies","363.320000","868"
"Andaman and Nicobar Islands","2006","Dry ginger","205.560000","1850"
"Andaman and Nicobar Islands","2006","other oilseeds","59.620000","36.379999999999995"
"Andaman and Nicobar Islands","2006","Rice","7776.170000","21535.26"
"Andaman and Nicobar Islands","2006","Sugarcane","125.000000","2500"
"Andaman and Nicobar Islands","2006","Sweet potato","78.400000","546"
"Andaman and Nicobar Islands","2006","Tapioca","347.030000","2030"
"Andaman and Nicobar Islands","2006","Turmeric","80.500000","469.03"
"Andaman and Nicobar Islands","2010","Arecanut","4152.000000","5800"
"Andaman and Nicobar Islands","2010","Arhar/Tur","315.000000","104"
